# Sample sensor data for testing (10 features per line)
# Format: flex1,flex2,flex3,flex4,flex5,roll_deg,pitch_deg,ax_g,ay_g,az_g
0.345,0.004,0.770,1.000,1.000,44.13,77.80,-1.085,0.163,0.168
0.348,0.002,0.769,1.000,1.000,42.75,77.87,-1.093,0.159,0.172
0.348,0.005,0.772,1.000,1.000,42.85,77.17,-1.081,0.167,0.180
0.352,0.005,0.772,1.000,1.000,44.82,77.74,-1.093,0.167,0.168
0.348,0.003,0.777,1.000,1.000,45.52,78.17,-1.093,0.163,0.160
0.350,0.003,0.770,1.000,1.000,46.19,77.70,-1.089,0.171,0.164
0.347,0.004,0.772,1.000,1.000,44.13,77.88,-1.093,0.163,0.168
0.346,0.005,0.772,1.000,1.000,42.80,77.50,-1.085,0.163,0.176
0.347,0.004,0.774,1.000,1.000,41.37,77.77,-1.085,0.155,0.176
0.355,0.004,0.769,1.000,1.000,42.80,77.50,-1.085,0.163,0.176
